target,horizon,model_family,role,model,model_label,representation,lookback,seed,summary_type,expected_n,successful_n,failed_n,completeness_percent,ranking_eligible,rmse,mae,mase,rmsse,smape_percent,directional_accuracy_percent,mean_error,median_error,r_squared,undefined_reason
MTC,5,classical_ml,primary,RandomForest,RandomForest [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,14,14,0,100.0,True,0.007799694524338607,0.006562525876326346,0.49904018741952705,0.5724384156680682,0.146232087340702,100.0,0.0018574172621407417,0.003885787472444502,0.964067330350403,
MTC,5,classical_ml,primary,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,14,14,0,100.0,True,0.04024833703848519,0.03974940525622366,3.041903630939768,2.98885343692651,0.8800721841740595,100.0,-0.03974940525622366,-0.03806317581887475,0.04318014408280535,
MTC,5,classical_ml,primary,SVR,SVR [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,14,14,0,100.0,True,0.00976985780802482,0.0063121644110548025,0.47034025843633376,0.6974289004376003,0.14113403627740387,100.0,-0.003025766876604243,0.0003081845959216345,0.9436218549084584,
MTC,5,classical_ml,primary,SVR,SVR [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,14,14,0,100.0,True,0.025362438781351672,0.022902851909691626,1.748933568675568,1.8733319459488365,0.5078610654404452,100.0,-0.022902851909691626,-0.024219422785296096,0.6200588608254279,
MTC,5,classical_ml,primary,XGBoost,XGBoost [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,14,14,0,100.0,True,0.008608722198454915,0.007916495678319155,0.6087901380444392,0.6433303493948533,0.17609161159963507,100.0,0.005370335666216951,0.007134803348403995,0.956226458572884,
MTC,5,classical_ml,primary,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,14,14,0,100.0,True,0.038609692107816784,0.03826430194462439,2.930344204692935,2.8712248789311885,0.8471006148133713,100.0,-0.03826430194462439,-0.036209126525595714,0.11950483857174854,
MTC,5,neural_ablation,ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,14,14,0,100.0,True,0.00937020388656076,0.007655061122442218,0.581724218414866,0.6864762692258625,0.17060118381693287,100.0,0.0004930065745707424,0.0008616298151018498,0.9481400159762349,
MTC,5,neural_ablation,ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,14,14,0,100.0,True,0.008640147450064296,0.006912666674671909,0.5238274470442532,0.6292328875769874,0.1540668029335157,100.0,-0.0010604382590573916,0.0001262635163832293,0.9559062936856079,
MTC,5,primary_neural,primary,BiLSTM,BiLSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,14,14,0,100.0,True,0.007805979353565599,0.006392228037336903,0.4893656391276067,0.5794941715230099,0.14245061856913122,100.0,0.0033745110160496544,0.0023144681685676183,0.9640093994464387,
MTC,5,primary_neural,primary,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,14,14,0,100.0,True,0.009187865164898164,0.007365329749823195,0.5574961633670027,0.6678994443602974,0.16417991567357515,100.0,-0.001509695003753134,-0.0006560481871384916,0.9501387085050594,
MTC,5,primary_neural,primary,CNN_GRU,CNN_GRU,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,14,14,0,100.0,True,0.008955613797298737,0.007328806748250776,0.5559294034416103,0.6519317176600312,0.1630473420342936,100.0,-0.006138865247833992,-0.006710765032165167,0.9526276411414859,
